plot_number,plex_range,street_side,orientation_margin,array_key,style_vote,style_conf,th_position,layout,bua
198,195-198,down,0.9952,4-1,moon,1.0,TH04,moon-b,2607.99
199,199-202,up,0.9332,4-1,moon,1.0,TH04,moon-b,2607.99
200,199-202,up,0.9332,4-1,moon,1.0,TH03,moon-b,2179.8
201,199-202,up,0.9332,4-1,moon,1.0,TH02,moon-a,2179.8
202,199-202,up,0.9332,4-1,moon,1.0,TH01,moon-a,2607.99
203,203-206,up,0.9325,4-2,mysk,1.0,TH04,mysk-b,2586.13
204,203-206,up,0.9325,4-2,mysk,1.0,TH03,mysk-b,2111.02
205,203-206,up,0.9325,4-2,mysk,1.0,TH02,mysk-a,2111.02
206,203-206,up,0.9325,4-2,mysk,1.0,TH01,mysk-a,2586.13
207,207-212,left,0.9035,6,moon,1.0,TH01,moon-a,2607.99
208,207-212,left,0.9035,6,moon,1.0,TH02,mysk-a,2111.55
209,207-212,left,0.9035,6,moon,1.0,TH03,mysk-b,2094.98
210,207-212,left,0.9035,6,moon,1.0,TH04,mysk-a,2094.76
211,207-212,left,0.9035,6,moon,1.0,TH05,mysk-b,2111.55
212,207-212,left,0.9035,6,moon,1.0,TH06,moon-b,2607.99
213,213-218,left,0.9615,6,mysk,0.6667,TH06,moon-b,2607.99
214,213-218,left,0.9615,6,mysk,0.6667,TH05,mysk-b,2111.55
215,213-218,left,0.9615,6,mysk,0.6667,TH04,mysk-a,2094.76
216,213-218,left,0.9615,6,mysk,0.6667,TH03,mysk-b,2094.98
217,213-218,left,0.9615,6,mysk,0.6667,TH02,mysk-a,2111.55
218,213-218,left,0.9615,6,mysk,0.6667,TH01,moon-a,2607.99
219,219-222,right,0.9029,4-1,moon,1.0,TH01,moon-a,2607.99
220,219-222,right,0.9029,4-1,moon,1.0,TH02,moon-a,2179.8
221,219-222,right,0.9029,4-1,moon,1.0,TH03,moon-b,2179.8
222,219-222,right,0.9029,4-1,moon,1.0,TH04,moon-b,2607.99
223,223-226,right,0.9609,4-2,mysk,1.0,TH01,mysk-a,2586.13
224,223-226,right,0.9609,4-2,mysk,1.0,TH02,mysk-a,2111.02
225,223-226,right,0.9609,4-2,mysk,1.0,TH03,mysk-b,2111.02
226,223-226,right,0.9609,4-2,mysk,1.0,TH04,mysk-b,2586.13
227,227-234,right,0.8721,8,moon,0.5,TH01,moon-a,2607.99
228,227-234,right,0.8721,8,moon,0.5,TH02,mysk-a,2111.45
229,227-234,right,0.8721,8,moon,0.5,TH03,mysk-b,2094.98
230,227-234,right,0.8721,8,moon,0.5,TH04,mysk-a,2094.76
231,227-234,right,0.8721,8,moon,0.5,TH05,mysk-b,2094.76
232,227-234,right,0.8721,8,moon,0.5,TH06,mysk-a,2094.65
233,227-234,right,0.8721,8,moon,0.5,TH07,mysk-b,2111.45
234,227-234,right,0.8721,8,moon,0.5,TH08,moon-b,2607.99
235,235-238,left,0.8271,4-1,moon,1.0,TH01,moon-a,2607.99
236,235-238,left,0.8271,4-1,moon,1.0,TH02,moon-a,2179.8
237,235-238,left,0.8271,4-1,moon,1.0,TH03,moon-b,2179.8
238,235-238,left,0.8271,4-1,moon,1.0,TH04,moon-b,2607.99
239,239-242,right,0.8136,4-2,mysk,1.0,TH04,mysk-b,2586.13
240,239-242,right,0.8136,4-2,mysk,1.0,TH03,mysk-b,2111.02
241,239-242,right,0.8136,4-2,mysk,1.0,TH02,mysk-a,2111.02
242,239-242,right,0.8136,4-2,mysk,1.0,TH01,mysk-a,2586.13
243,243-250,left,0.9624,8,mysk,0.75,TH01,moon-a,2607.99
244,243-250,left,0.9624,8,mysk,0.75,TH02,mysk-a,2111.45
245,243-250,left,0.9624,8,mysk,0.75,TH03,mysk-b,2094.98
246,243-250,left,0.9624,8,mysk,0.75,TH04,mysk-a,2094.76
247,243-250,left,0.9624,8,mysk,0.75,TH05,mysk-b,2094.76
248,243-250,left,0.9624,8,mysk,0.75,TH06,mysk-a,2094.65
249,243-250,left,0.9624,8,mysk,0.75,TH07,mysk-b,2111.45
250,243-250,left,0.9624,8,mysk,0.75,TH08,moon-b,2607.99
251,251-258,left,0.656,8,moon,1.0,TH08,moon-b,2607.99
252,251-258,left,0.656,8,moon,1.0,TH07,mysk-b,2111.45
253,251-258,left,0.656,8,moon,1.0,TH06,mysk-a,2094.65
254,251-258,left,0.656,8,moon,1.0,TH05,mysk-b,2094.76
255,251-258,left,0.656,8,moon,1.0,TH04,mysk-a,2094.76
256,251-258,left,0.656,8,moon,1.0,TH03,mysk-b,2094.98
257,251-258,left,0.656,8,moon,1.0,TH02,mysk-a,2111.45
258,251-258,left,0.656,8,moon,1.0,TH01,moon-a,2607.99
259,259-266,right,0.9453,8,mysk,0.75,TH01,moon-a,2607.99
260,259-266,right,0.9453,8,mysk,0.75,TH02,mysk-a,2111.45
261,259-266,right,0.9453,8,mysk,0.75,TH03,mysk-b,2094.98
