plot_number,unit_number,facade_style,bedrooms,layout,label,bua,bathrooms,maids_room,ground_floor_bedroom,plex_range,plex_size,street_side,th_position,orientation_margin,style_vote_frac
287,287,sleek,3,sleek-d,D,1905.9,3.5,True,False,283-290,8,left,5,0.4062,1.0
288,288,sleek,3,sleek-c,C,1905.9,3.5,True,False,283-290,8,left,6,0.4062,1.0
289,289,sleek,3,sleek-d,D,1907.2,3.5,True,False,283-290,8,left,7,0.4062,1.0
290,290,sleek,4,sleek-d,D,2345.7,4.0,True,True,283-290,8,left,8,0.4062,1.0
291,291,sleek,4,sleek-a,A,2264.5,4.0,True,True,291-300,10,down,1,0.4,1.0
292,292,sleek,3,sleek-a,A,2009.2,3.5,True,False,291-300,10,down,2,0.4,1.0
293,293,sleek,3,sleek-b,B,2011.1,3.5,True,False,291-300,10,down,3,0.4,1.0
294,294,sleek,3,sleek-c,C,1903.7,3.5,True,False,291-300,10,down,4,0.4,1.0
295,295,sleek,3,sleek-d,D,1938.2,3.5,True,False,291-300,10,down,5,0.4,1.0
296,296,sleek,3,sleek-a,A,2043.8,3.5,True,False,291-300,10,down,6,0.4,1.0
297,297,sleek,3,sleek-b,B,2010.5,3.5,True,False,291-300,10,down,7,0.4,1.0
298,298,sleek,3,sleek-c,C,1903.2,3.5,True,False,291-300,10,down,8,0.4,1.0
299,299,sleek,3,sleek-d,D,1903.0,3.5,True,False,291-300,10,down,9,0.4,1.0
300,300,sleek,4,sleek-b,B,2265.1,4.0,True,True,291-300,10,down,10,0.4,1.0
301,301,bold,4,bold-c,C,2346.3,4.0,True,True,301-308,8,down,1,0.375,1.0
302,302,bold,3,bold-c,C,1899.3,3.5,True,False,301-308,8,down,2,0.375,1.0
303,303,bold,3,bold-d,D,1898.2,3.5,True,False,301-308,8,down,3,0.375,1.0
304,304,bold,3,bold-c,C,1898.2,3.5,True,False,301-308,8,down,4,0.375,1.0
305,305,bold,3,bold-d,D,1898.2,3.5,True,False,301-308,8,down,5,0.375,1.0
306,306,bold,3,bold-c,C,1898.2,3.5,True,False,301-308,8,down,6,0.375,1.0
307,307,bold,3,bold-d,D,1899.3,3.5,True,False,301-308,8,down,7,0.375,1.0
308,308,bold,4,bold-d,D,2346.3,4.0,True,True,301-308,8,down,8,0.375,1.0
