plot,cx,cy,conf
364,1763.0,536.5,0.9999988987918347
365,1692.5,538.0,0.9954834580421448
366,1620.5,539.0,0.7915038466453552
367,1544.0,540.5,0.5312146544456482
368,1465.0,541.5,0.9999988987918347
369,1308.0,551.0,0.7968586087226868
370,1235.0,552.5,0.8562970757484436
371,1158.5,553.0,0.9555009603500366
372,1089.0,553.5,0.9510205388069153
373,1017.5,553.5,0.9996731281280518
374,945.0,555.0,0.9830565452575684
375,873.5,555.0,0.8695142865180969
376,795.0,555.0,0.9999996558724309
377,575.0,780.0,0.9905778765678406
378,576.0,851.5,0.991662859916687
379,575.0,919.0,0.9999927733243802
380,575.5,984.5,1.0
381,574.0,1049.5,0.999606728553772
382,577.0,1129.5,0.745930552482605
383,592.5,1273.5,0.8359490633010864
384,593.0,1340.5,0.7421648502349854
385,592.5,1397.0,0.5862617492675781
386,592.5,1475.0,0.9999997935234566
387,592.0,1541.5,0.9583404660224915
388,592.5,1615.0,0.9999998623489704
389,612.0,1792.5,0.7785403728485107
390,612.5,1871.0,0.6757274270057678
391,610.0,1931.0,0.9805956408956038
392,612.5,1999.0,0.742015147903342
393,612.5,2067.5,0.965518593788147
394,612.5,2128.5,0.9893563985824585
395,612.5,2196.5,0.9762448668479919
396,612.5,2272.5,0.8630611300468445
397,921.0,2591.5,0.9875407814979553
398,1001.5,2592.5,0.9997214078903198
399,1068.5,2593.0,0.9999971781544015
400,1146.0,2593.0,0.9999938745316418
401,1220.5,2592.5,0.9999989041821146
402,1289.5,2593.0,0.5531750917434692
403,1361.5,2593.0,0.9999999311744849
404,1439.0,2591.5,0.66048663854599
405,1596.5,2584.5,1.0
406,1670.0,2584.5,0.9999993117448777
407,1744.5,2584.5,0.5052549242973328
408,1820.0,2584.5,0.6954288146480444
409,1889.0,2584.5,0.9998577390154177
410,1964.0,2583.5,0.9999997935234566
411,2123.0,2568.0,0.9906936610818241
412,2204.0,2569.0,0.9902118444442749
413,2276.0,2569.5,0.9995478391647339
414,2345.0,2569.0,0.9474101390476094
415,2418.0,2569.5,0.9999990364428464
416,2492.5,2569.5,0.999999449395897
417,2565.5,2569.0,0.9999757734578919
418,2640.0,2569.0,0.37650167324234673
419,2855.5,2548.0,0.7696135640144348
420,2937.0,2549.5,0.5573714383529147
421,3009.0,2549.0,0.788603663444519
422,3089.0,2550.5,0.9999997935234566
423,3245.0,2532.5,1.0
424,3320.0,2531.5,0.9917573016467854
425,3392.0,2531.0,0.6701353192329407
426,3465.0,2530.0,0.9999992429193688
427,3533.5,2529.5,0.9999999311744849
428,3610.0,2529.0,1.0
429,3683.5,2528.0,0.999992910975279
430,3764.5,2527.0,0.9997747540473938
